,ID_Video,Category,Annotator,Question,Answer,Caption,Foil,Idefics_Answer,System_evaluation
0,8166472@N03_4977206807_49f8b91a19.avi,Outofscope,Davide,Is the girl texting a message with her phone?,There is no mobile phone in the video.,The video does not show the girl using a phone to text., The video shows the girl using a phone to take a picture.,"No, the girl is not texting a message with her phone.",Correct
1,8166472@N03_4977206807_49f8b91a19.avi,Counterfactual,Davide,What would happen if there was an earthquake?,The people should protect themselves by going under the desks,The people can protect themselves during an earthquake by going under desks., The people can protect themselves during an earthquake by going on top of desks.,"If there was an earthquake, the computer monitors would fall off the desk and break.",Not_correct
2,8166472@N03_4977206807_49f8b91a19.avi,Uncertainty,Davide,Is the girl using the computer for the first time?,It's hard to say,The girl's experience with the computer is uncertain., The boy's experience with the computer is uncertain.,"No, the girl is not using the computer for the first time. She is using the computer for the second time.",Correct
3,8166472@N03_4977206807_49f8b91a19.avi,Uncertainty,Davide,What is the weather like?,It can't be seen what's the weather like outside,The weather outside is not visible., The weather outside is not audible.,The weather is sunny.,Not_correct
4,8166472@N03_4977206807_49f8b91a19.avi,Sentiment,Davide,How did the girl react to the woman's claim?,She seems to be happy and satisfied,The girl is happy and satisfied with the woman's claim., The girl is happy and dissatisfied with the woman's claim.,The girl looked at the woman in disbelief.,Not_correct
5,8166472@N03_4977206807_49f8b91a19.avi,Occult entity,Davide,At the end of the video you can see a hand. Who does it belong to?,It probably belongs to the person who is recording the video,The hand at the end of the video most likely belongs to the person recording., The hand at the end of the video most likely belongs to the person who is visible in the video.,The hand belongs to the woman.,Not_correct
6,8166472@N03_4977206807_49f8b91a19.avi,Entity tracking,Davide,There's a boy who enters the room in the middle of the video. Where does he go?,He walks around the room while reading something,A boy walks around the room while reading., A girl walks around the room while reading.,The boy enters the room and goes to the back of the classroom.,Not_correct
7,8166472@N03_4977206807_49f8b91a19.avi,Temporal,Davide,Is the girl smiling at the end of the video?,yes,The girl is smiling at the end of the video., The girl is frowning at the end of the video.,"Yes, the girl is smiling at the end of the video.",Correct
8,8166472@N03_4977206807_49f8b91a19.avi,Causal,Davide,What happens after the teacher gave the advice to the girl?,The girl succeeds in doing something with the computer,The girl successfully operates the computer after receiving advice from the teacher., The girl unsuccessfully operates the computer after receiving advice from the teacher.,The girl would then proceed to follow the advice given by the teacher.,Correct
9,8166472@N03_4977206807_49f8b91a19.avi,Commonsense,Davide,Where is this video set?,The video appears to be set in a school laboratory,This video takes place in a school laboratory., This video takes place in a chemistry laboratory. (replacing school with chemistry),This video is set in a classroom.,Correct
10,8166472@N03_4977206807_49f8b91a19.avi,Implicit,Davide,Is the video recorded by anyone?,Yes,The video was recorded by someone., The video was recorded by something.,"Yes, the video is recorded by a camera.",Correct
11,8166472@N03_4977206807_49f8b91a19.avi,Outofscope,Alessandro B.,Are there animals in the class?,"No, there are no animals",The class does not have any animals., The class does not have any plants.,"No, there are no animals in the class.",Correct
12,8166472@N03_4977206807_49f8b91a19.avi,Uncertainty,Alessandro B.,What is behind the column,Maybe other desks,Other desks could be behind the column., Other columns could be behind the desk.,A computer monitor is behind the column.,Not_correct
13,8166472@N03_4977206807_49f8b91a19.avi,Sentiment,Alessandro B.,Is the teacher happy?,Yes,The teacher is happy., The student is happy.,"Yes, the teacher is happy.",Correct
